molecule_id_a,molecule_id_b,severity,mechanism,provenance
MOL-00008,MOL-01003,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01035,Major,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00008,MOL-01043,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_P.csv
MOL-00008,MOL-01047,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01055,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01058,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01059,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01063,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01069,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01071,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00008,MOL-01073,Minor,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01087,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01127,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01135,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01142,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00008,MOL-01149,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00008,MOL-01152,Moderate,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01154,Minor,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01156,Major,,ddinter_downloads_code_L.csv
MOL-00008,MOL-01157,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00011,MOL-00106,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-00109,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-00110,Moderate,,ddinter_downloads_code_L.csv
MOL-00011,MOL-00114,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-00115,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_L.csv
MOL-00011,MOL-01054,Major,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00011,MOL-01059,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01064,Major,,ddinter_downloads_code_B.csv|ddinter_downloads_code_L.csv
MOL-00011,MOL-01065,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01073,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01077,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01079,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01086,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01133,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01139,Moderate,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01154,Major,,ddinter_downloads_code_L.csv
MOL-00011,MOL-01157,Moderate,,ddinter_downloads_code_L.csv|ddinter_downloads_code_R.csv
MOL-00012,MOL-00287,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv
MOL-00012,MOL-00292,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-00686,Unknown,,ddinter_downloads_code_D.csv
MOL-00012,MOL-00690,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01054,Unknown,,ddinter_downloads_code_R.csv
MOL-00012,MOL-01198,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01203,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01251,Unknown,,ddinter_downloads_code_H.csv
MOL-00012,MOL-01485,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01576,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01628,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01775,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_H.csv
MOL-00012,MOL-01839,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-01975,Unknown,,ddinter_downloads_code_A.csv
MOL-00012,MOL-02304,Unknown,,ddinter_downloads_code_B.csv
MOL-00013,MOL-00015,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00018,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00019,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00024,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv
MOL-00013,MOL-00029,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00042,Minor,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00051,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00055,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_R.csv
MOL-00013,MOL-00059,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00063,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00066,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00071,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00081,Minor,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv
MOL-00013,MOL-00097,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00106,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00114,Minor,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00138,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00146,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00148,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00149,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00152,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00153,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00156,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00159,Unknown,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00198,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00207,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00220,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00221,Moderate,,ddinter_downloads_code_A.csv
MOL-00013,MOL-00229,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv
MOL-00013,MOL-00261,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00013,MOL-00262,Unknown,,ddinter_downloads_code_A.csv
