drugbank_id_a,drugbank_id_b,ddinter_id_a,ddinter_id_b,drug_a,drug_b,severity,mechanism,source_file,n_source_files,severity_conflict_across_files
,,DDInter1,DDInter1513,Abacavir,Prednisolone,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv,5,false
,,DDInter1,DDInter1515,Abacavir,Prednisone,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_H.csv,2,false
,,DDInter1,DDInter1533,Abacavir,Promethazine,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv,3,false
,,DDInter1,DDInter1550,Abacavir,Pyrimethamine,Unknown,,ddinter_downloads_code_P.csv,1,false
,,DDInter1,DDInter1559,Abacavir,Rabeprazole,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1568,Abacavir,Ranitidine,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1621,Abacavir,Rosiglitazone,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1622,Abacavir,Rosuvastatin,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1632,Abacavir,Salbutamol,Unknown,,ddinter_downloads_code_R.csv,1,false
,,DDInter1,DDInter1663,Abacavir,Sevelamer,Unknown,,ddinter_downloads_code_V.csv,1,false
,,DDInter1,DDInter1717,Abacavir,Sucralfate,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1725,Abacavir,Sulfasalazine,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1735,Abacavir,Tacrolimus,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv,2,false
,,DDInter1,DDInter1771,Abacavir,Teriflunomide,Major,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1814,Abacavir,Tioguanine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1840,Abacavir,Trabectedin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter1906,Abacavir,Ursodeoxycholic acid,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1916,Abacavir,Vancomycin,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter1941,Abacavir,Vitamin A,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv,4,false
,,DDInter1,DDInter1951,Abacavir,Warfarin,Unknown,,ddinter_downloads_code_B.csv,1,false
,,DDInter2,DDInter267,Abaloparatide,Calcipotriol (topical),Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter2,DDInter269,Abaloparatide,Calcitriol (topical),Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv,2,false
,,DDInter3,DDInter8,Abametapir (topical),Abiraterone,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter9,Abametapir (topical),Acalabrutinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter35,Abametapir (topical),Albendazole,Moderate,,ddinter_downloads_code_P.csv,1,false
,,DDInter3,DDInter52,Abametapir (topical),Alosetron,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter53,Abametapir (topical),Alpelisib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter93,Abametapir (topical),Anagrelide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter340,Abametapir (topical),Ceritinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter375,Abametapir (topical),Ciclesonide,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter379,Abametapir (topical),Cilostazol,Moderate,,ddinter_downloads_code_B.csv,1,false
,,DDInter3,DDInter381,Abametapir (topical),Cinacalcet,Moderate,,ddinter_downloads_code_H.csv,1,false
,,DDInter3,DDInter385,Abametapir (topical),Cisapride,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter393,Abametapir (topical),Clarithromycin,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter398,Abametapir (topical),Clindamycin,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter424,Abametapir (topical),Cobicistat,Moderate,,ddinter_downloads_code_V.csv,1,false
,,DDInter3,DDInter425,Abametapir (topical),Cobimetinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter427,Abametapir (topical),Cocaine (topical),Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter429,Abametapir (topical),Codeine,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter448,Abametapir (topical),Crizotinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter456,Abametapir (topical),Cyclophosphamide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter458,Abametapir (topical),Cyclosporine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter462,Abametapir (topical),Dabrafenib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter475,Abametapir (topical),Dapsone,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter484,Abametapir (topical),Dasatinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter492,Abametapir (topical),Deflazacort,Moderate,,ddinter_downloads_code_H.csv,1,false
,,DDInter3,DDInter513,Abametapir (topical),Dexamethasone,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv,4,false
,,DDInter3,DDInter519,Abametapir (topical),Dexlansoprazole,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter527,Abametapir (topical),Dextromethorphan,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter537,Abametapir (topical),Diclofenac,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter578,Abametapir (topical),Docetaxel,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter581,Abametapir (topical),Dolasetron,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter595,Abametapir (topical),Doxercalciferol,Moderate,,ddinter_downloads_code_H.csv,1,false
,,DDInter3,DDInter596,Abametapir (topical),Doxorubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter597,Abametapir (topical),Doxorubicin (liposomal),Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter601,Abametapir (topical),Dronabinol,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter629,Abametapir (topical),Eliglustat,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter649,Abametapir (topical),Enzalutamide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter667,Abametapir (topical),Erlotinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter670,Abametapir (topical),Erythromycin,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter676,Abametapir (topical),Esomeprazole,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter692,Abametapir (topical),Ethinylestradiol,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter702,Abametapir (topical),Etoposide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter704,Abametapir (topical),Everolimus,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter705,Abametapir (topical),Exemestane,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter714,Abametapir (topical),Fedratinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter736,Abametapir (topical),Finasteride,Moderate,,ddinter_downloads_code_D.csv,1,false
,,DDInter3,DDInter747,Abametapir (topical),Fludrocortisone,Moderate,,ddinter_downloads_code_H.csv,1,false
,,DDInter3,DDInter765,Abametapir (topical),Flutamide,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter766,Abametapir (topical),Fluticasone,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv,2,false
,,DDInter3,DDInter810,Abametapir (topical),Gefitinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter817,Abametapir (topical),Gilteritinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter822,Abametapir (topical),Glasdegib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter831,Abametapir (topical),Glyburide,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter840,Abametapir (topical),Granisetron,Moderate,,ddinter_downloads_code_A.csv,1,false
,,DDInter3,DDInter852,Abametapir (topical),Halofantrine,Moderate,,ddinter_downloads_code_P.csv,1,false
,,DDInter3,DDInter884,Abametapir (topical),Hydrocodone,Moderate,,ddinter_downloads_code_R.csv,1,false
,,DDInter3,DDInter885,Abametapir (topical),Hydrocortisone,Moderate,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv,4,false
,,DDInter3,DDInter905,Abametapir (topical),Idelalisib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter3,DDInter906,Abametapir (topical),Ifosfamide,Moderate,,ddinter_downloads_code_L.csv,1,false
