drug,degree,top_file,anchor_concentration,n_files
glycopyrronium,189,A,1.0,5
nelarabine,188,L,1.0,6
darunavir,188,L,0.4628,8
asparaginase erwinia chrysanthemi,187,L,0.4278,8
selexipag,187,B,1.0,7
buspirone,187,A,0.3316,8
methylphenobarbital,187,L,0.4706,8
denosumab,186,L,0.8978,7
mitomycin,186,L,1.0,7
ibritumomab tiuxetan,185,V,1.0,6
calaspargase pegol,185,L,0.4216,8
tositumomab,185,V,1.0,6
droperidol,185,L,0.3189,8
smallpox vaccine live,185,L,0.8811,7
zoledronic acid,184,A,0.3478,8
methscopolamine,184,A,1.0,5
mepenzolate,184,A,1.0,5
porfimer,183,L,1.0,7
maprotiline,183,L,0.3224,8
delavirdine,183,L,0.4754,8
propafenone,183,L,0.4809,8
isosorbide mononitrate,183,A,0.3607,8
clidinium,183,A,1.0,5
measles virus vaccine live attenuated,182,L,0.8956,7
yellow fever vaccine,182,L,0.8956,7
ephedrine,182,A,1.0,8
chlorthalidone,182,A,0.533,7
rotavirus vaccine,182,L,0.8956,7
human adenovirus e serotype strain cl- antigen,182,L,0.8956,7
prasugrel,182,B,1.0,6
mefenamic acid,181,A,0.3204,8
pregabalin,180,A,0.3556,8
rubella virus vaccine,180,L,0.9,7
solifenacin,180,L,0.35,8
sulindac,180,A,0.3056,8
doxazosin,180,A,0.3667,8
topiramate,180,A,0.3889,8
talazoparib,180,L,1.0,8
tipranavir,180,A,0.3389,8
influenza a virus a vietnam antigen,179,L,0.905,7
human papillomavirus l capsid protein antigen,179,L,0.905,7
hepatitis a vaccine,179,L,0.905,7
hepatitis b vaccine,179,L,0.905,7
anthrax vaccine,179,L,0.905,7
cenobamate,179,L,0.4693,8
poliovirus antigen,179,L,0.905,7
clostridium tetani toxoid antigen,179,L,0.905,7
meningococcal polysaccharide vaccine group c,179,L,0.905,7
influenza a virus a california -like antigen,179,L,0.905,7
secobarbital,179,L,0.4134,8
lorcaserin,178,A,1.0,5
phenolphthalein,178,A,1.0,8
eptifibatide,178,B,1.0,8
pimecrolimus,178,D,1.0,8
pindolol,178,A,0.3876,8
disulfiram,178,P,1.0,7
darolutamide,178,L,1.0,8
risedronic acid,178,A,0.4045,8
oxaprozin,178,A,0.3202,8
bacillus calmette-guerin substrain tice live antigen,177,L,0.8983,7
neomycin,177,A,1.0,8
mumps virus strain b level jeryl lynn live antigen,177,L,0.8983,7
chlorothiazide,177,A,0.565,8
bepridil,176,L,0.4318,8
lindane,176,P,1.0,6
rifapentine,176,L,0.4943,8
oxtriphylline,176,R,1.0,8
amobarbital,174,L,0.4253,8
magaldrate,174,A,1.0,8
lyme disease vaccine,174,L,0.908,7
pfizer-biontech covid- vaccine,174,L,0.908,7
axitinib,174,L,1.0,8
meperidine,174,A,0.408,8
remdesivir,174,L,0.5805,8
abametapir,174,L,0.4885,8
neratinib,173,L,1.0,8
methylene blue,172,V,1.0,7
foscarnet,172,L,0.3663,8
bendamustine,172,L,1.0,8
vorapaxar,172,B,1.0,7
niacin,171,A,0.4795,8
streptomycin,170,A,1.0,7
chlorcyclizine,170,R,1.0,6
naloxegol,170,A,1.0,8
ezetimibe,170,A,0.3529,8
isavuconazonium,170,L,0.5647,8
anisindione,169,L,0.3018,8
pentobarbital,169,L,0.4201,8
butabarbital,169,L,0.4201,8
midazolam,169,L,0.3136,8
telmisartan,168,A,0.4107,8
valbenazine,168,L,0.3631,8
peginterferon alfa- a,168,L,1.0,7
