drug,degree,top_file,anchor_concentration,n_files
sacubitril,6,A,0.5,4
fospropofol,6,A,0.3333,3
cabotegravir,6,A,0.8333,3
loracarbef,6,L,0.5,4
regadenoson,6,R,0.8333,3
niclosamide,6,P,1.0,3
teriparatide,6,H,1.0,3
valrubicin,5,L,1.0,2
parathyroid hormone,5,H,1.0,3
paritaprevir,5,L,0.6,2
trioxsalen,5,D,1.0,2
anti-inhibitor coagulant complex,5,B,1.0,1
levomefolic acid,5,L,0.6,2
amrinone,5,L,0.6,2
methionine,5,V,1.0,3
glutamic acid,5,A,1.0,1
salmon calcitonin,5,H,1.0,2
milrinone,5,L,0.6,2
nalmefene,5,A,0.8,2
factor ix complex,5,B,0.8,2
nifurtimox,5,P,1.0,3
benzoyl peroxide,5,D,1.0,2
coagulation factor viia recombinant human,5,B,1.0,2
micafungin,5,L,0.6,2
acetohydroxamic acid,5,L,1.0,1
copper,5,A,0.4,3
nitrous oxide,5,A,0.4,3
bretylium,5,D,0.4,5
tivozanib,4,L,1.0,1
resorcinol,4,D,1.0,2
ferumoxytol,4,B,0.5,4
saw palmetto,4,B,0.5,3
ferric derisomaltose,4,B,0.5,4
mebrofenin,4,A,0.5,2
iron dextran,4,B,0.5,4
sodium ferric gluconate complex,4,B,0.5,4
ferric carboxymaltose,4,B,0.5,4
coal tar,4,L,0.75,2
bismuth subcitrate,4,A,0.75,2
agalsidase beta,4,A,1.0,3
omalizumab,4,R,1.0,4
necitumumab,4,L,1.0,2
cedazuridine,4,L,1.0,1
azelaic acid,4,D,1.0,3
microcrystalline cellulose,4,A,0.75,2
dextrothyroxine,4,L,0.5,3
ferumoxides,4,V,1.0,1
docusate,4,A,1.0,1
doripenem,4,L,0.75,2
pralidoxime,3,V,1.0,2
fosfomycin,3,A,1.0,1
avelumab,3,L,1.0,1
dotatate,3,H,1.0,1
indium - pentetate,3,V,1.0,1
emicizumab,3,B,1.0,1
dinoprostone,3,A,0.3333,4
dalbavancin,3,L,0.6667,2
novobiocin,3,L,0.6667,2
coenzyme m,3,R,1.0,3
indium - pentetreotide,3,V,1.0,3
antihemophilic factor human recombinant,3,B,1.0,3
copper oxodotreotide cu,3,H,1.0,1
rifamycin,3,A,1.0,2
ethiodized oil,2,L,0.5,2
iodine,2,D,1.0,2
medrysone,2,D,0.5,2
glucosamine,2,B,1.0,1
simethicone,2,H,1.0,1
sorbitol,2,A,1.0,3
bazedoxifene,2,L,1.0,1
oprelvekin,2,L,1.0,1
oxygen,2,V,1.0,2
hyaluronic acid,2,D,1.0,3
inulin,2,A,1.0,2
creatine,2,A,0.5,2
beta carotene,2,A,1.0,2
abaloparatide,2,D,1.0,2
laronidase,2,A,1.0,2
pegademase,2,L,1.0,2
risdiplam,2,A,1.0,1
sodium cellulose,2,V,1.0,1
coagulation factor ix human,2,A,0.5,2
papaya,2,B,1.0,1
cyclopentolate,2,R,0.5,2
tilmanocept,2,D,1.0,2
chondroitin,2,B,1.0,1
cranberry,2,B,1.0,1
methyl,2,B,1.0,1
ferumoxsil,2,V,1.0,1
dorzolamide,2,A,0.5,3
lubiprostone,1,A,1.0,2
chorionic gonadotropin,1,H,1.0,1
benzalkonium,1,D,1.0,2
hexachlorophene,1,D,1.0,1
menotropins,1,H,1.0,1
urofollitropin,1,H,1.0,1
gonadorelin,1,H,1.0,2
follitropin,1,H,1.0,1
difluprednate,1,D,1.0,1
sulfacetamide,1,D,1.0,1
clioquinol,1,D,1.0,2
thimerosal,1,D,1.0,1
penciclovir,1,D,1.0,2
glatiramer,1,L,1.0,1
anidulafungin,1,L,1.0,1
ravulizumab,1,L,1.0,1
eculizumab,1,L,1.0,1
factor xiii,1,L,1.0,1
clomifene,1,L,1.0,1
dasabuvir,1,L,1.0,1
dehydrocholic acid,1,L,1.0,1
flax seed,1,L,1.0,1
pertuzumab,1,L,1.0,1
hexaminolevulinate,1,L,1.0,2
pyrophosphoric acid,1,B,1.0,1
bremelanotide,1,A,1.0,1
migalastat,1,A,1.0,1
nedocromil,1,A,1.0,2
pegaptanib,1,A,1.0,1
miglustat,1,A,1.0,1
imiglucerase,1,A,1.0,1
plecanatide,1,A,1.0,2
vibegron,1,A,1.0,1
enfuvirtide,1,V,1.0,1
oxyquinoline,1,A,1.0,3
ipecac,1,A,1.0,3
lutein,1,A,1.0,2
triheptanoin,1,A,1.0,1
manganese,1,A,1.0,1
quinupristin,1,A,1.0,1
milk thistle,1,V,1.0,1
von willebrand factor human,1,B,1.0,2
tioconazole,1,A,1.0,2
dornase alfa,1,A,1.0,2
spectinomycin,1,A,1.0,1
dextrose unspecified form,1,V,1.0,1
fibrinogen human,1,B,1.0,2
sodium glycerophosphate,1,B,1.0,1
romiplostim,1,B,1.0,2
pyrantel,1,P,1.0,2
citrus bioflavonoids,1,B,1.0,1
benzonatate,1,R,1.0,1
cetylpyridinium,1,B,1.0,3
fomepizole,1,D,1.0,2
tetrofosmin,1,V,1.0,1
ergoloid,1,V,1.0,1
norelgestromin,1,V,1.0,1
